#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
  132.000000;   46.500000;   -1.000000;    0.000000;   -0.032117;    0.116087;    0.000000;    0.019834;    0.174316;   -0.000155;    0.177639;   62.504390;  146.133987;   -8.385539
  133.000000;   47.000000;   -1.000000;    0.000000;   -0.032026;    0.116126;    0.000000;    0.016660;    0.170056;   -0.000139;    0.172486;   58.803902;  141.845421;   -7.532101
  134.000000;   47.500000;   -1.000000;    0.000000;   -0.031950;    0.116161;    0.000000;    0.013730;    0.166304;   -0.000126;    0.167972;   55.436289;  138.032589;   -6.808589
  135.000000;   48.000000;   -1.000000;    0.000000;   -0.031888;    0.116192;    0.000000;    0.011021;    0.162970;   -0.000114;    0.163988;   52.358696;  134.616829;   -6.189702
  136.000000;   48.500000;   -1.000000;    0.000000;   -0.031840;    0.116220;    0.000000;    0.008510;    0.159987;   -0.000104;    0.160447;   49.534351;  131.536751;   -5.655696
  137.000000;   49.000000;   -1.000000;    0.000000;   -0.031803;    0.116246;    0.000000;    0.006175;    0.157301;   -0.000096;    0.157283;   46.931532;  128.743879;   -5.190652
  138.000000;   49.500000;   -1.000000;    0.000000;   -0.031778;    0.116269;    0.000000;    0.003995;    0.154871;   -0.000088;    0.154443;   44.522483;  126.199697;   -4.781152
  139.000000;   50.000000;   -1.000000;    0.000000;   -0.031763;    0.116290;    0.000000;    0.001950;    0.152667;   -0.000082;    0.151886;   42.282139;  123.873545;   -4.415423
  140.000000;   50.500000;   -1.000000;    0.000000;   -0.031759;    0.116310;    0.000000;    0.000018;    0.150666;   -0.000075;    0.149579;   40.187702;  121.741375;   -4.084731
  141.000000;   51.000000;   -1.000000;    0.000000;   -0.031763;    0.116328;    0.000000;   -0.001810;    0.148847;   -0.000070;    0.147499;   38.225487;  119.784491;   -3.788386
  142.000000;   51.500000;   -1.000000;    0.000000;   -0.031777;    0.116343;    0.000000;   -0.003480;    0.147168;   -0.000066;    0.145613;   36.428666;  117.982101;   -3.594503
  143.000000;   40.500000;   -1.500000;    0.000000;   -0.031829;    0.110143;    0.000000;   -0.109169;    0.466377;    0.000547;    0.470499;   36.145488;  347.719406;   29.617358
  144.000000;   41.000000;   -1.500000;    0.000000;   -0.032335;    0.111912;    0.000000;   -0.079259;    0.422358;   -0.000206;    0.419245;   48.575743;  320.127480;  -11.131642
  145.000000;   41.500000;   -1.500000;    0.000000;   -0.032621;    0.112957;    0.000000;   -0.037270;    0.359842;   -0.000528;    0.361404;   65.832871;  280.810974;  -28.583010
